CollectorV(1),Ic01 (Ib = 1 uA),Ic02 (Ib = 2 uA),Ic03 (Ib = 3 uA),Ic04 (Ib = 4 uA),Ic05 (Ib = 5 uA),Ic06 (Ib = 6 uA),Ic07 (Ib = 7 uA),Ic08 (Ib = 8 uA),Ic09 (Ib = 9 uA),Ic10 (Ib = 10 uA),,,,,,,,,,,,,,,,,,,,
1.8500E+0,101.5491E-6,211.7595E-6,324.0087E-6,437.1020E-6,550.4339E-6,663.9429E-6,777.1315E-6,890.4109E-6,1.0028E-3,1.1149E-3,,,,,,,,,,,,,,,,,,,,
1.9000E+0,101.6144E-6,211.8734E-6,324.1991E-6,437.3769E-6,550.8004E-6,664.3336E-6,777.6378E-6,890.9192E-6,1.0034E-3,1.1156E-3,,,,,,,,,,,,,,,,,,,,
1.9500E+0,101.6779E-6,212.0058E-6,324.4328E-6,437.6270E-6,551.1244E-6,664.7748E-6,778.1117E-6,891.4694E-6,1.0041E-3,1.1163E-3,,,,,,,,,,,,,,,,,,,,
2.0000E+0,101.7330E-6,212.1215E-6,324.6411E-6,437.8954E-6,551.4631E-6,665.1645E-6,778.5873E-6,892.0590E-6,1.0047E-3,1.1170E-3,,,,,,,,,,,,,,,,,,,,
2.0500E+0,101.7911E-6,212.2466E-6,324.7920E-6,438.1394E-6,551.7942E-6,665.5491E-6,779.1162E-6,892.5810E-6,1.0053E-3,1.1176E-3,,,,,,,,,,,,,,,,,,,,
2.1000E+0,101.8619E-6,212.3532E-6,324.9940E-6,438.4041E-6,552.0875E-6,665.9232E-6,779.5494E-6,893.1291E-6,1.0058E-3,1.1183E-3,,,,,,,,,,,,,,,,,,,,
2.1500E+0,101.9275E-6,212.4759E-6,325.1666E-6,438.6736E-6,552.4202E-6,666.3214E-6,780.0456E-6,893.5900E-6,1.0064E-3,1.1190E-3,,,,,,,,,,,,,,,,,,,,
2.2000E+0,101.9912E-6,212.6214E-6,325.3592E-6,438.9357E-6,552.7336E-6,666.7126E-6,780.4731E-6,894.0730E-6,1.0070E-3,1.1196E-3,,,,,,,,,,,,,,,,,,,,
2.2500E+0,102.0417E-6,212.7549E-6,325.5185E-6,439.1574E-6,553.0723E-6,667.0927E-6,780.8961E-6,894.6116E-6,1.0077E-3,1.1203E-3,,,,,,,,,,,,,,,,,,,,
2.3000E+0,102.1074E-6,212.8851E-6,325.7266E-6,439.4148E-6,553.3686E-6,667.5041E-6,781.3539E-6,895.1437E-6,1.0083E-3,1.1209E-3,,,,,,,,,,,,,,,,,,,,
2.3500E+0,102.1623E-6,213.0005E-6,325.9372E-6,439.6781E-6,553.6952E-6,667.8782E-6,781.8274E-6,895.6061E-6,1.0088E-3,1.1216E-3,,,,,,,,,,,,,,,,,,,,
2.4000E+0,102.2159E-6,213.1142E-6,326.1122E-6,439.8962E-6,554.0057E-6,668.2653E-6,782.2529E-6,896.1451E-6,1.0094E-3,1.1222E-3,,,,,,,,,,,,,,,,,,,,
2.4500E+0,102.2711E-6,213.2207E-6,326.2897E-6,440.1585E-6,554.2848E-6,668.6070E-6,782.6719E-6,896.6347E-6,1.0099E-3,1.1229E-3,,,,,,,,,,,,,,,,,,,,
2.5000E+0,102.3273E-6,213.3408E-6,326.4853E-6,440.4085E-6,554.5589E-6,668.9826E-6,783.1161E-6,897.1320E-6,1.0105E-3,1.1235E-3,,,,,,,,,,,,,,,,,,,,
2.5500E+0,102.3914E-6,213.4664E-6,326.6190E-6,440.6454E-6,554.8854E-6,669.3592E-6,783.5274E-6,897.6614E-6,1.0110E-3,1.1241E-3,,,,,,,,,,,,,,,,,,,,
2.6000E+0,102.4353E-6,213.5902E-6,326.8208E-6,440.8667E-6,555.1944E-6,669.7069E-6,783.9853E-6,898.1648E-6,1.0116E-3,1.1247E-3,,,,,,,,,,,,,,,,,,,,
2.6500E+0,102.4904E-6,213.6984E-6,327.0014E-6,441.1364E-6,555.4887E-6,670.0800E-6,784.4153E-6,898.5882E-6,1.0122E-3,1.1254E-3,,,,,,,,,,,,,,,,,,,,
2.7000E+0,102.5497E-6,213.8174E-6,327.1856E-6,441.3582E-6,555.8148E-6,670.4237E-6,784.8308E-6,899.1263E-6,1.0128E-3,1.1259E-3,,,,,,,,,,,,,,,,,,,,
2.7500E+0,102.6053E-6,213.9133E-6,327.3409E-6,441.5864E-6,556.1135E-6,670.7963E-6,785.2190E-6,899.5846E-6,1.0133E-3,1.1265E-3,,,,,,,,,,,,,,,,,,,,
2.8000E+0,102.6593E-6,214.0324E-6,327.5233E-6,441.8259E-6,556.4013E-6,671.1683E-6,785.6172E-6,900.0889E-6,1.0138E-3,1.1271E-3,,,,,,,,,,,,,,,,,,,,
2.8500E+0,102.7134E-6,214.1614E-6,327.6925E-6,442.0688E-6,556.7218E-6,671.5115E-6,786.1007E-6,900.5821E-6,1.0143E-3,1.1278E-3,,,,,,,,,,,,,,,,,,,,
2.9000E+0,102.7729E-6,214.2698E-6,327.8935E-6,442.3126E-6,556.9793E-6,671.8507E-6,786.5208E-6,901.0712E-6,1.0148E-3,1.1284E-3,,,,,,,,,,,,,,,,,,,,
2.9500E+0,102.8090E-6,214.3612E-6,328.0500E-6,442.5186E-6,557.2816E-6,672.2273E-6,786.9018E-6,901.5608E-6,1.0154E-3,1.1289E-3,,,,,,,,,,,,,,,,,,,,
3.0000E+0,102.8699E-6,214.4655E-6,328.1947E-6,442.7431E-6,557.5451E-6,672.5432E-6,787.3390E-6,902.0176E-6,1.0160E-3,1.1295E-3,,,,,,,,,,,,,,,,,,,,
3.0500E+0,102.9224E-6,214.5832E-6,328.3640E-6,442.9635E-6,557.8086E-6,672.8860E-6,787.7141E-6,902.4679E-6,1.0165E-3,1.1300E-3,,,,,,,,,,,,,,,,,,,,
3.1000E+0,102.9737E-6,214.6804E-6,328.5379E-6,443.1880E-6,558.0832E-6,673.2252E-6,788.1114E-6,902.9268E-6,1.0170E-3,1.1306E-3,,,,,,,,,,,,,,,,,,,,
