#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2018-11-14 19:45:11.803
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1 V Hyst.: Auto HoldOff: 0 s
#Math 1: Function: C1 X C2

Time (s),Math 1 (V)
-0.0024967687499999999,-0.50922689802972054
-0.0024961387500000002,0.38296905336303261
-0.0024955087500000001,-0.018422106395362792
-0.0024948787500000003,-0.36406044269217586
-0.0024942487500000002,0.51276497898900819
-0.00249361875,-0.34273253436518153
-0.0024929887500000003,-0.049348352153998624
-0.0024923587500000001,0.40559954181882785
-0.00249172875,-0.51326569280308387
-0.0024910987500000002,0.29038033034422717
-0.0024904687500000001,0.10979406305272045
-0.0024898387500000003,-0.44850438922929026
-0.0024892087500000002,0.49915819506521747
-0.00248857875,-0.23880354881398963
-0.0024879487500000003,-0.17746371569603392
-0.0024873187500000001,0.47833305072028276
-0.00248668875,-0.48318113626748044
-0.0024860587500000002,0.17780020312609854
-0.0024854287500000001,0.2357045319392429
-0.0024847987500000003,-0.50875811474440047
