
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
1.6595869074375656E+002, 1.6595869074375656E+002, 0.0000000000000000E+000,-4.6587022598318049E+000, 0.0000000000000000E+000
1.6788040181225654E+002, 1.6788040181225654E+002, 0.0000000000000000E+000,-4.5519087394223963E+000, 0.0000000000000000E+000
1.6982436524617495E+002, 1.6982436524617495E+002, 0.0000000000000000E+000,-4.4453101121574390E+000, 0.0000000000000000E+000
1.7179083871575935E+002, 1.7179083871575935E+002, 0.0000000000000000E+000,-4.3389037771529946E+000, 0.0000000000000000E+000
1.7378008287493810E+002, 1.7378008287493810E+002, 0.0000000000000000E+000,-4.2326871970860918E+000, 0.0000000000000000E+000
1.7579236139586985E+002, 1.7579236139586985E+002, 0.0000000000000000E+000,-4.1266578982986530E+000, 0.0000000000000000E+000
1.7782794100389287E+002, 1.7782794100389287E+002, 0.0000000000000000E+000,-4.0208134706895446E+000, 0.0000000000000000E+000
1.7988709151287941E+002, 1.7988709151287941E+002, 0.0000000000000000E+000,-3.9151515677751121E+000, 0.0000000000000000E+000
1.8197008586099898E+002, 1.8197008586099898E+002, 0.0000000000000000E+000,-3.8096699067291646E+000, 0.0000000000000000E+000
1.8407720014689625E+002, 1.8407720014689625E+002, 0.0000000000000000E+000,-3.7043662682038230E+000, 0.0000000000000000E+000
1.8620871366628742E+002, 1.8620871366628742E+002, 0.0000000000000000E+000,-3.5992384964437756E+000, 0.0000000000000000E+000
1.8836490894898074E+002, 1.8836490894898074E+002, 0.0000000000000000E+000,-3.4942844991100754E+000, 0.0000000000000000E+000
1.9054607179632544E+002, 1.9054607179632544E+002, 0.0000000000000000E+000,-3.3895022472774219E+000, 0.0000000000000000E+000
1.9275249131909433E+002, 1.9275249131909433E+002, 0.0000000000000000E+000,-3.2848897753218766E+000, 0.0000000000000000E+000
1.9498445997580529E+002, 1.9498445997580529E+002, 0.0000000000000000E+000,-3.1804451808721024E+000, 0.0000000000000000E+000
1.9724227361148616E+002, 1.9724227361148616E+002, 0.0000000000000000E+000,-3.0761666246798396E+000, 0.0000000000000000E+000
1.9952623149688876E+002, 1.9952623149688876E+002, 0.0000000000000000E+000,-2.9720523305114628E+000, 0.0000000000000000E+000
2.0183663636815692E+002, 2.0183663636815692E+002, 0.0000000000000000E+000,-2.8681005851214221E+000, 0.0000000000000000E+000
2.0417379446695378E+002, 2.0417379446695378E+002, 0.0000000000000000E+000,-2.7643097380301969E+000, 0.0000000000000000E+000
2.0653801558105380E+002, 2.0653801558105380E+002, 0.0000000000000000E+000,-2.6606782014943757E+000, 0.0000000000000000E+000
2.0892961308540484E+002, 2.0892961308540484E+002, 0.0000000000000000E+000,-2.5572044503659388E+000, 0.0000000000000000E+000
2.1134890398366559E+002, 2.1134890398366559E+002, 0.0000000000000000E+000,-2.4538870219618363E+000, 0.0000000000000000E+000
2.1379620895022416E+002, 2.1379620895022416E+002, 0.0000000000000000E+000,-2.3507245159483907E+000, 0.0000000000000000E+000
2.1627185237270299E+002, 2.1627185237270299E+002, 0.0000000000000000E+000,-2.2477155942454443E+000, 0.0000000000000000E+000
2.1877616239495626E+002, 2.1877616239495626E+002, 0.0000000000000000E+000,-2.1448589808635865E+000, 0.0000000000000000E+000
2.2130947096056479E+002, 2.2130947096056479E+002, 0.0000000000000000E+000,-2.0421534618331068E+000, 0.0000000000000000E+000
2.2387211385683500E+002, 2.2387211385683500E+002, 0.0000000000000000E+000,-1.9395978850373963E+000, 0.0000000000000000E+000
2.2646443075930702E+002, 2.2646443075930702E+002, 0.0000000000000000E+000,-1.8371911601516502E+000, 0.0000000000000000E+000
2.2908676527677838E+002, 2.2908676527677838E+002, 0.0000000000000000E+000,-1.7349322584894415E+000, 0.0000000000000000E+000
2.3173946499684897E+002, 2.3173946499684897E+002, 0.0000000000000000E+000,-1.6328202128962084E+000, 0.0000000000000000E+000
2.3442288153199334E+002, 2.3442288153199334E+002, 0.0000000000000000E+000,-1.5308541176859856E+000, 0.0000000000000000E+000
2.3713737056616668E+002, 2.3713737056616668E+002, 0.0000000000000000E+000,-1.4290331284650104E+000, 0.0000000000000000E+000
2.3988329190195023E+002, 2.3988329190195023E+002, 0.0000000000000000E+000,-1.3273564621279943E+000, 0.0000000000000000E+000
2.4266100950824276E+002, 2.4266100950824276E+002, 0.0000000000000000E+000,-1.2258233966781120E+000, 0.0000000000000000E+000
2.4547089156850427E+002, 2.4547089156850427E+002, 0.0000000000000000E+000,-1.1244332712159544E+000, 0.0000000000000000E+000
2.4831331052955829E+002, 2.4831331052955829E+002, 0.0000000000000000E+000,-1.0231854858198965E+000, 0.0000000000000000E+000
2.5118864315095931E+002, 2.5118864315095931E+002, 0.0000000000000000E+000,-9.2207950146861650E-001, 0.0000000000000000E+000
2.5409727055493184E+002, 2.5409727055493184E+002, 0.0000000000000000E+000,-8.2111483999472346E-001, 0.0000000000000000E+000
2.5703957827688777E+002, 2.5703957827688777E+002, 0.0000000000000000E+000,-7.2029108401962794E-001, 0.0000000000000000E+000
2.6001595631652862E+002, 2.6001595631652862E+002, 0.0000000000000000E+000,-6.1960787690457142E-001, 0.0000000000000000E+000
2.6302679918953964E+002, 2.6302679918953964E+002, 0.0000000000000000E+000,-5.1906492267664850E-001, 0.0000000000000000E+000
2.6607250597988246E+002, 2.6607250597988246E+002, 0.0000000000000000E+000,-4.1866198604472682E-001, 0.0000000000000000E+000
2.6915348039269310E+002, 2.6915348039269310E+002, 0.0000000000000000E+000,-3.1839889233641733E-001, 0.0000000000000000E+000
2.7227013080779278E+002, 2.7227013080779278E+002, 0.0000000000000000E+000,-2.1827552743434869E-001, 0.0000000000000000E+000
2.7542287033381825E+002, 2.7542287033381825E+002, 0.0000000000000000E+000,-1.1829183785333594E-001, 0.0000000000000000E+000
2.7861211686297867E+002, 2.7861211686297867E+002, 0.0000000000000000E+000,-1.8447830661669870E-002, 0.0000000000000000E+000
2.8183829312644707E+002, 2.8183829312644707E+002, 0.0000000000000000E+000, 8.1256426484833361E-002, 0.0000000000000000E+000
2.8510182675039266E+002, 2.8510182675039266E+002, 0.0000000000000000E+000, 1.8082080533732731E-001, 0.0000000000000000E+000
2.8840315031266238E+002, 2.8840315031266238E+002, 0.0000000000000000E+000, 2.8024511707372041E-001, 0.0000000000000000E+000
2.9174270140011851E+002, 2.9174270140011851E+002, 0.0000000000000000E+000, 3.7952911221680019E-001, 0.0000000000000000E+000
2.9512092266664041E+002, 2.9512092266664041E+002, 0.0000000000000000E+000, 4.7867248063661139E-001, 0.0000000000000000E+000
2.9853826189179784E+002, 2.9853826189179784E+002, 0.0000000000000000E+000, 5.7767485151156139E-001, 0.0000000000000000E+000
