
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
1.4859356422870130E+002, 1.4859356422870130E+002, 0.0000000000000000E+000,-4.7417849321525276E+000, 0.0000000000000000E+000
1.4996848355023798E+002, 1.4996848355023798E+002, 0.0000000000000000E+000,-4.6928313188929938E+000, 0.0000000000000000E+000
1.5135612484362147E+002, 1.5135612484362147E+002, 0.0000000000000000E+000,-4.6442283799169726E+000, 0.0000000000000000E+000
1.5275660582380794E+002, 1.5275660582380794E+002, 0.0000000000000000E+000,-4.5959775069960314E+000, 0.0000000000000000E+000
1.5417004529495665E+002, 1.5417004529495665E+002, 0.0000000000000000E+000,-4.5480800401294772E+000, 0.0000000000000000E+000
1.5559656316050817E+002, 1.5559656316050817E+002, 0.0000000000000000E+000,-4.5005372666945291E+000, 0.0000000000000000E+000
1.5703628043335598E+002, 1.5703628043335598E+002, 0.0000000000000000E+000,-4.4533504206237655E+000, 0.0000000000000000E+000
1.5848931924611210E+002, 1.5848931924611210E+002, 0.0000000000000000E+000,-4.4065206816105444E+000, 0.0000000000000000E+000
1.5995580286146765E+002, 1.5995580286146765E+002, 0.0000000000000000E+000,-4.3600491743498520E+000, 0.0000000000000000E+000
1.6143585568264942E+002, 1.6143585568264942E+002, 0.0000000000000000E+000,-4.3139369678062121E+000, 0.0000000000000000E+000
1.6292960326397306E+002, 1.6292960326397306E+002, 0.0000000000000000E+000,-4.2681850745181782E+000, 0.0000000000000000E+000
1.6443717232149402E+002, 1.6443717232149402E+002, 0.0000000000000000E+000,-4.2227944499346277E+000, 0.0000000000000000E+000
1.6595869074375693E+002, 1.6595869074375693E+002, 0.0000000000000000E+000,-4.1777659917868712E+000, 0.0000000000000000E+000
1.6749428760264462E+002, 1.6749428760264462E+002, 0.0000000000000000E+000,-4.1331005394947233E+000, 0.0000000000000000E+000
1.6904409316432731E+002, 1.6904409316432731E+002, 0.0000000000000000E+000,-4.0887988736121548E+000, 0.0000000000000000E+000
1.7060823890031327E+002, 1.7060823890031327E+002, 0.0000000000000000E+000,-4.0448617153078477E+000, 0.0000000000000000E+000
1.7218685749860165E+002, 1.7218685749860165E+002, 0.0000000000000000E+000,-4.0012897258836002E+000, 0.0000000000000000E+000
1.7378008287493853E+002, 1.7378008287493853E+002, 0.0000000000000000E+000,-3.9580835063322577E+000, 0.0000000000000000E+000
1.7538805018417713E+002, 1.7538805018417713E+002, 0.0000000000000000E+000,-3.9152435969353707E+000, 0.0000000000000000E+000
1.7701089583174314E+002, 1.7701089583174314E+002, 0.0000000000000000E+000,-3.8727704768990505E+000, 0.0000000000000000E+000
1.7864875748520612E+002, 1.7864875748520612E+002, 0.0000000000000000E+000,-3.8306645640321650E+000, 0.0000000000000000E+000
1.8030177408595796E+002, 1.8030177408595796E+002, 0.0000000000000000E+000,-3.7889262144635634E+000, 0.0000000000000000E+000
1.8197008586099943E+002, 1.8197008586099943E+002, 0.0000000000000000E+000,-3.7475557224018914E+000, 0.0000000000000000E+000
1.8365383433483575E+002, 1.8365383433483575E+002, 0.0000000000000000E+000,-3.7065533199364293E+000, 0.0000000000000000E+000
1.8535316234148229E+002, 1.8535316234148229E+002, 0.0000000000000000E+000,-3.6659191768791604E+000, 0.0000000000000000E+000
1.8706821403658122E+002, 1.8706821403658122E+002, 0.0000000000000000E+000,-3.6256534006503625E+000, 0.0000000000000000E+000
1.8879913490963054E+002, 1.8879913490963054E+002, 0.0000000000000000E+000,-3.5857560362057650E+000, 0.0000000000000000E+000
1.9054607179632595E+002, 1.9054607179632595E+002, 0.0000000000000000E+000,-3.5462270660043123E+000, 0.0000000000000000E+000
1.9230917289101708E+002, 1.9230917289101708E+002, 0.0000000000000000E+000,-3.5070664100226718E+000, 0.0000000000000000E+000
1.9408858775927908E+002, 1.9408858775927908E+002, 0.0000000000000000E+000,-3.4682739258066695E+000, 0.0000000000000000E+000
1.9588446735060026E+002, 1.9588446735060026E+002, 0.0000000000000000E+000,-3.4298494085702016E+000, 0.0000000000000000E+000
1.9769696401118739E+002, 1.9769696401118739E+002, 0.0000000000000000E+000,-3.3917925913319724E+000, 0.0000000000000000E+000
1.9952623149688930E+002, 1.9952623149688930E+002, 0.0000000000000000E+000,-3.3541031450970409E+000, 0.0000000000000000E+000
2.0137242498624019E+002, 2.0137242498624019E+002, 0.0000000000000000E+000,-3.3167806790799776E+000, 0.0000000000000000E+000
2.0323570109362356E+002, 2.0323570109362356E+002, 0.0000000000000000E+000,-3.2798247409663195E+000, 0.0000000000000000E+000
2.0511621788255798E+002, 2.0511621788255798E+002, 0.0000000000000000E+000,-3.2432348172199674E+000, 0.0000000000000000E+000
2.0701413487910568E+002, 2.0701413487910568E+002, 0.0000000000000000E+000,-3.2070103334265303E+000, 0.0000000000000000E+000
2.0892961308540544E+002, 2.0892961308540544E+002, 0.0000000000000000E+000,-3.1711506546800230E+000, 0.0000000000000000E+000
2.1086281499333046E+002, 2.1086281499333046E+002, 0.0000000000000000E+000,-3.1356550860069610E+000, 0.0000000000000000E+000
2.1281390459827276E+002, 2.1281390459827276E+002, 0.0000000000000000E+000,-3.1005228728300711E+000, 0.0000000000000000E+000
2.1478304741305499E+002, 2.1478304741305499E+002, 0.0000000000000000E+000,-3.0657532014722637E+000, 0.0000000000000000E+000
2.1677041048197111E+002, 2.1677041048197111E+002, 0.0000000000000000E+000,-3.0313451996940350E+000, 0.0000000000000000E+000
2.1877616239495694E+002, 2.1877616239495694E+002, 0.0000000000000000E+000,-2.9972979372713970E+000, 0.0000000000000000E+000
2.2080047330189171E+002, 2.2080047330189171E+002, 0.0000000000000000E+000,-2.9636104266083247E+000, 0.0000000000000000E+000
2.2284351492703215E+002, 2.2284351492703215E+002, 0.0000000000000000E+000,-2.9302816233843858E+000, 0.0000000000000000E+000
2.2490546058357992E+002, 2.2490546058357992E+002, 0.0000000000000000E+000,-2.8973104272363717E+000, 0.0000000000000000E+000
2.2698648518838405E+002, 2.2698648518838405E+002, 0.0000000000000000E+000,-2.8646956824744780E+000, 0.0000000000000000E+000
2.2908676527677920E+002, 2.2908676527677920E+002, 0.0000000000000000E+000,-2.8324361788293668E+000, 0.0000000000000000E+000
2.3120647901756141E+002, 2.3120647901756141E+002, 0.0000000000000000E+000,-2.8005306522322297E+000, 0.0000000000000000E+000
2.3334580622810225E+002, 2.3334580622810225E+002, 0.0000000000000000E+000,-2.7689777856223285E+000, 0.0000000000000000E+000
2.3550492838960298E+002, 2.3550492838960298E+002, 0.0000000000000000E+000,-2.7377762097880911E+000, 0.0000000000000000E+000
2.3768402866248971E+002, 2.3768402866248971E+002, 0.0000000000000000E+000,-2.7069245042327541E+000, 0.0000000000000000E+000
2.3988329190195114E+002, 2.3988329190195114E+002, 0.0000000000000000E+000,-2.6764211980678114E+000, 0.0000000000000000E+000
2.4210290467361995E+002, 2.4210290467361995E+002, 0.0000000000000000E+000,-2.6462647709330680E+000, 0.0000000000000000E+000
2.4434305526939937E+002, 2.4434305526939937E+002, 0.0000000000000000E+000,-2.6164536539410079E+000, 0.0000000000000000E+000
2.4660393372343614E+002, 2.4660393372343614E+002, 0.0000000000000000E+000,-2.5869862306450719E+000, 0.0000000000000000E+000
2.4888573182824135E+002, 2.4888573182824135E+002, 0.0000000000000000E+000,-2.5578608380286250E+000, 0.0000000000000000E+000
2.5118864315096030E+002, 2.5118864315096030E+002, 0.0000000000000000E+000,-2.5290757675164244E+000, 0.0000000000000000E+000
2.5351286304979308E+002, 2.5351286304979308E+002, 0.0000000000000000E+000,-2.5006292660052534E+000, 0.0000000000000000E+000
2.5585858869056693E+002, 2.5585858869056693E+002, 0.0000000000000000E+000,-2.4725195369136941E+000, 0.0000000000000000E+000
2.5822601906346205E+002, 2.5822601906346205E+002, 0.0000000000000000E+000,-2.4447447412473187E+000, 0.0000000000000000E+000
2.6061535499989202E+002, 2.6061535499989202E+002, 0.0000000000000000E+000,-2.4173029986831835E+000, 0.0000000000000000E+000
2.6302679918954072E+002, 2.6302679918954072E+002, 0.0000000000000000E+000,-2.3901923886637353E+000, 0.0000000000000000E+000
2.6546055619755651E+002, 2.6546055619755651E+002, 0.0000000000000000E+000,-2.3634109515105002E+000, 0.0000000000000000E+000
2.6791683248190583E+002, 2.6791683248190583E+002, 0.0000000000000000E+000,-2.3369566895440177E+000, 0.0000000000000000E+000
2.7039583641088706E+002, 2.7039583641088706E+002, 0.0000000000000000E+000,-2.3108275682196480E+000, 0.0000000000000000E+000
2.7289777828080679E+002, 2.7289777828080679E+002, 0.0000000000000000E+000,-2.2850215172685675E+000, 0.0000000000000000E+000
2.7542287033381939E+002, 2.7542287033381939E+002, 0.0000000000000000E+000,-2.2595364318493307E+000, 0.0000000000000000E+000
2.7797132677593169E+002, 2.7797132677593169E+002, 0.0000000000000000E+000,-2.2343701737078496E+000, 0.0000000000000000E+000
2.8054336379517423E+002, 2.8054336379517423E+002, 0.0000000000000000E+000,-2.2095205723403661E+000, 0.0000000000000000E+000
2.8313919957994085E+002, 2.8313919957994085E+002, 0.0000000000000000E+000,-2.1849854261617536E+000, 0.0000000000000000E+000
2.8575905433749767E+002, 2.8575905433749767E+002, 0.0000000000000000E+000,-2.1607625036799738E+000, 0.0000000000000000E+000
2.8840315031266363E+002, 2.8840315031266363E+002, 0.0000000000000000E+000,-2.1368495446691256E+000, 0.0000000000000000E+000
2.9107171180666364E+002, 2.9107171180666364E+002, 0.0000000000000000E+000,-2.1132442613447937E+000, 0.0000000000000000E+000
2.9376496519615625E+002, 2.9376496519615625E+002, 0.0000000000000000E+000,-2.0899443395416188E+000, 0.0000000000000000E+000
2.9648313895243746E+002, 2.9648313895243746E+002, 0.0000000000000000E+000,-2.0669474398864889E+000, 0.0000000000000000E+000
2.9922646366082216E+002, 2.9922646366082216E+002, 0.0000000000000000E+000,-2.0442511989704859E+000, 0.0000000000000000E+000
3.0199517204020492E+002, 3.0199517204020492E+002, 0.0000000000000000E+000,-2.0218532305195263E+000, 0.0000000000000000E+000
3.0478949896280170E+002, 3.0478949896280170E+002, 0.0000000000000000E+000,-1.9997511265574799E+000, 0.0000000000000000E+000
3.0760968147407425E+002, 3.0760968147407425E+002, 0.0000000000000000E+000,-1.9779424585660543E+000, 0.0000000000000000E+000
3.1045595881283907E+002, 3.1045595881283907E+002, 0.0000000000000000E+000,-1.9564247786378661E+000, 0.0000000000000000E+000
3.1332857243156212E+002, 3.1332857243156212E+002, 0.0000000000000000E+000,-1.9351956206222818E+000, 0.0000000000000000E+000
3.1622776601684154E+002, 3.1622776601684154E+002, 0.0000000000000000E+000,-1.9142525012626541E+000, 0.0000000000000000E+000
3.1915378551007984E+002, 3.1915378551007984E+002, 0.0000000000000000E+000,-1.8935929213242464E+000, 0.0000000000000000E+000
3.2210687912834720E+002, 3.2210687912834720E+002, 0.0000000000000000E+000,-1.8732143667144574E+000, 0.0000000000000000E+000
