
Label=V(Out3) vs V(V3)
LabelX=V(V3)
LabelY=V(Out3)
Data Point Count=209
V(V3),V(V3),V(Out3)
 1.9644999999999910E+000, 1.9644999999999910E+000, 4.3005350901748302E-001
 2.0144999999999911E+000, 2.0144999999999911E+000, 7.0659819344535346E-001
 2.0644999999999909E+000, 2.0644999999999909E+000, 9.8750715613535833E-001
 2.1144999999999907E+000, 2.1144999999999907E+000, 1.2719188726963009E+000
 2.1644999999999905E+000, 2.1644999999999905E+000, 1.5588677557415560E+000
 2.2144999999999904E+000, 2.2144999999999904E+000, 1.8472501850610890E+000
 2.2644999999999902E+000, 2.2644999999999902E+000, 2.1357842994180811E+000
 2.3144999999999900E+000, 2.3144999999999900E+000, 2.4229722016187001E+000
 2.3644999999999898E+000, 2.3644999999999898E+000, 2.7070268726450228E+000
 2.4144999999999897E+000, 2.4144999999999897E+000, 2.9858227690539563E+000
 2.4644999999999895E+000, 2.4644999999999895E+000, 3.2568152045702288E+000
 2.5144999999999893E+000, 2.5144999999999893E+000, 3.5169614967980829E+000
 2.5644999999999891E+000, 2.5644999999999891E+000, 3.7626770796194529E+000
 2.6144999999999889E+000, 2.6144999999999889E+000, 3.9898401023560481E+000
 2.6644999999999888E+000, 2.6644999999999888E+000, 4.1939469677856804E+000
 2.7144999999999886E+000, 2.7144999999999886E+000, 4.3705555844554462E+000
 2.7644999999999884E+000, 2.7644999999999884E+000, 4.5160831988500547E+000
 2.8144999999999882E+000, 2.8144999999999882E+000, 4.6289424827208379E+000
 2.8644999999999881E+000, 2.8644999999999881E+000, 4.7105187313823933E+000
 2.9144999999999879E+000, 2.9144999999999879E+000, 4.7652258604494477E+000
 2.9644999999999877E+000, 2.9644999999999877E+000, 4.7993425478290686E+000
 3.0144999999999875E+000, 3.0144999999999875E+000, 4.8192770777410798E+000
 3.0644999999999873E+000, 3.0644999999999873E+000, 4.8302996538878924E+000
 3.1144999999999872E+000, 3.1144999999999872E+000, 4.8361133788256963E+000
 3.1644999999999870E+000, 3.1644999999999870E+000, 4.8390611640061296E+000
 3.2144999999999868E+000, 3.2144999999999868E+000, 4.8405002047690395E+000
 3.2644999999999866E+000, 3.2644999999999866E+000, 4.8411809367155030E+000
 3.3144999999999865E+000, 3.3144999999999865E+000, 4.8414896002643628E+000
 3.3644999999999863E+000, 3.3644999999999863E+000, 4.8416245134752209E+000
 3.4144999999999861E+000, 3.4144999999999861E+000, 4.8416811210634316E+000
 3.4644999999999859E+000, 3.4644999999999859E+000, 4.8417042665519752E+000
 3.5144999999999857E+000, 3.5144999999999857E+000, 4.8417128266172362E+000
 3.5644999999999856E+000, 3.5644999999999856E+000, 4.8417158468021242E+000
 3.6144999999999854E+000, 3.6144999999999854E+000, 4.8417172411677489E+000
 3.6644999999999852E+000, 3.6644999999999852E+000, 4.8417182258817011E+000
 3.7144999999999850E+000, 3.7144999999999850E+000, 4.8417180928389225E+000
 3.7644999999999849E+000, 3.7644999999999849E+000, 4.8417180405079980E+000
 3.8144999999999847E+000, 3.8144999999999847E+000, 4.8417181677923224E+000
 3.8644999999999845E+000, 3.8644999999999845E+000, 4.8417178212564025E+000
 3.9144999999999843E+000, 3.9144999999999843E+000, 4.8417184379419869E+000
 3.9644999999999841E+000, 3.9644999999999841E+000, 4.8417183820639371E+000
 4.0144999999999840E+000, 4.0144999999999840E+000, 4.8417181724527758E+000
 4.0644999999999838E+000, 4.0644999999999838E+000, 4.8417184590895106E+000
 4.1144999999999836E+000, 4.1144999999999836E+000, 4.8417184376396936E+000
 4.1644999999999834E+000, 4.1644999999999834E+000, 4.8417185725624643E+000
 4.2144999999999833E+000, 4.2144999999999833E+000, 4.8417184558366255E+000
 4.2644999999999831E+000, 4.2644999999999831E+000, 4.8417181112076273E+000
 4.3144999999999829E+000, 4.3144999999999829E+000, 4.8417184055659730E+000
 4.3644999999999827E+000, 4.3644999999999827E+000, 4.8417182487351713E+000
 4.4144999999999825E+000, 4.4144999999999825E+000, 4.8417180716798436E+000
 4.4644999999999824E+000, 4.4644999999999824E+000, 4.8417179042655309E+000
 4.5144999999999822E+000, 4.5144999999999822E+000, 4.8417182019431264E+000
 4.5644999999999820E+000, 4.5644999999999820E+000, 4.8417177831465574E+000
 4.6144999999999818E+000, 4.6144999999999818E+000, 4.8417184185731470E+000
 4.6644999999999817E+000, 4.6644999999999817E+000, 4.8417185488828505E+000
 4.7144999999999815E+000, 4.7144999999999815E+000, 4.8417185136174581E+000
 4.7644999999999813E+000, 4.7644999999999813E+000, 4.8417183079033013E+000
 4.8144999999999811E+000, 4.8144999999999811E+000, 4.8417182828414616E+000
 4.8644999999999810E+000, 4.8644999999999810E+000, 4.8417185611954103E+000
 4.9144999999999808E+000, 4.9144999999999808E+000, 4.8417182547803828E+000
 4.9644999999999806E+000, 4.9644999999999806E+000, 4.8417182403835310E+000
 5.0000000000000000E+000, 5.0000000000000000E+000, 4.8417178949297544E+000
