
Label=dB(v(Out3)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out3)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out3)/(V(Vid1)-V(Vid2))),dB(v(Out3)/(V(Vid1)-V(Vid2)))
6.1944107507679291E+002, 6.1944107507679291E+002, 0.0000000000000000E+000,-1.3665381442219044E+001, 0.0000000000000000E+000
6.2517269277569744E+002, 6.2517269277569744E+002, 0.0000000000000000E+000,-1.3665381446102490E+001, 0.0000000000000000E+000
6.3095734448020505E+002, 6.3095734448020505E+002, 0.0000000000000000E+000,-1.3665381451775950E+001, 0.0000000000000000E+000
6.3679552090792777E+002, 6.3679552090792777E+002, 0.0000000000000000E+000,-1.3665381459623347E+001, 0.0000000000000000E+000
6.4268771731703180E+002, 6.4268771731703180E+002, 0.0000000000000000E+000,-1.3665381469409002E+001, 0.0000000000000000E+000
6.4863443354825074E+002, 6.4863443354825074E+002, 0.0000000000000000E+000,-1.3665381481129639E+001, 0.0000000000000000E+000
6.5463617406728747E+002, 6.5463617406728747E+002, 0.0000000000000000E+000,-1.3665381494989944E+001, 0.0000000000000000E+000
6.6069344800760871E+002, 6.6069344800760871E+002, 0.0000000000000000E+000,-1.3665381510666542E+001, 0.0000000000000000E+000
6.6680676921363499E+002, 6.6680676921363499E+002, 0.0000000000000000E+000,-1.3665381528417036E+001, 0.0000000000000000E+000
6.7297665628433083E+002, 6.7297665628433083E+002, 0.0000000000000000E+000,-1.3665381548136551E+001, 0.0000000000000000E+000
6.7920363261719785E+002, 6.7920363261719785E+002, 0.0000000000000000E+000,-1.3665381569815690E+001, 0.0000000000000000E+000
6.8548822645267501E+002, 6.8548822645267501E+002, 0.0000000000000000E+000,-1.3665381593747561E+001, 0.0000000000000000E+000
6.9183097091895013E+002, 6.9183097091895013E+002, 0.0000000000000000E+000,-1.3665381619446130E+001, 0.0000000000000000E+000
