#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2019-09-18 19:33:57.381
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V
#Channel 2: Range: 5 V/div Offset: 0 V
#Math 1: Function: C1/10

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
0.0017437499999999999,2.0075971265745962,-0.78118913471056828,0.20075971265745962
0.00175625,2.0223607153196168,-0.78118913471056828,0.20223607153196169
0.0017687499999999999,2.0334334068783826,-0.78118913471056828,0.20334334068783827
0.0017812500000000001,2.0481969956234032,-0.78118913471056828,0.20481969956234031
0.00179375,2.0592696871821685,-0.78492143731231367,0.20592696871821686
0.0018062499999999999,2.0740332759271896,-0.78492143731231367,0.20740332759271896
0.0018187500000000001,2.0851059674859549,-0.78492143731231367,0.20851059674859548
0.00183125,2.0998695562309755,-0.78492143731231367,0.20998695562309755
0.0018437499999999999,2.1109422477897413,-0.78492143731231367,0.21109422477897413
0.00185625,2.1220149393485066,-0.78492143731231367,0.21220149393485066
0.00186875,2.1367785280935272,-0.78492143731231367,0.21367785280935273
0.0018812499999999999,2.1515421168385482,-0.78492143731231367,0.21515421168385482
0.00189375,2.1626148083973136,-0.78492143731231367,0.21626148083973135
0.00190625,2.1736874999560793,-0.78492143731231367,0.21736874999560793
0.0019187499999999999,2.1884510887010999,-0.78492143731231367,0.21884510887010999
0.00193125,2.1995237802598653,-0.78492143731231367,0.21995237802598652
0.0019437499999999999,2.2069055746323758,-0.78492143731231367,0.22069055746323757
0.0019562500000000001,2.2142873690048863,-0.78865373991405896,0.22142873690048864
0.00196875,2.2253600605636517,-0.78492143731231367,0.22253600605636517
0.0019812500000000004,2.236432752122417,-0.78492143731231367,0.2236432752122417
0.0019937500000000003,2.2475054436811828,-0.78865373991405896,0.22475054436811828
0.0020062500000000002,2.2622690324262034,-0.78865373991405896,0.22622690324262035
0.0020187500000000001,2.2696508267987139,-0.78865373991405896,0.22696508267987139
0.0020312500000000001,2.277032621171224,-0.78865373991405896,0.22770326211712238
0.00204375,2.2881053127299897,-0.78865373991405896,0.22881053127299897
0.0020562500000000004,2.2991780042887551,-0.78865373991405896,0.2299178004288755
0.0020687500000000003,2.3139415930337757,-0.78865373991405896,0.23139415930337756
0.0020812500000000002,2.3287051817787967,-0.78865373991405896,0.23287051817787968
0.0020937500000000001,2.339777873337562,-0.79238604251580425,0.23397778733375621
0.00210625,2.3545414620825826,-0.78865373991405896,0.23545414620825827
0.00211875,2.3693050508276037,-0.79238604251580425,0.23693050508276037
0.0021312500000000003,2.380377742386369,-0.79238604251580425,0.2380377742386369
0.0021437500000000003,2.3877595367588795,-0.79238604251580425,0.23877595367588794
0.0021562500000000002,2.3951413311313896,-0.79238604251580425,0.23951413311313896
0.0021687500000000001,2.4025231255039001,-0.79238604251580425,0.24025231255039001
0.00218125,2.4099049198764106,-0.79238604251580425,0.24099049198764105
0.0021937500000000004,2.420977611435176,-0.79238604251580425,0.24209776114351761
0.0022062500000000003,2.4320503029939413,-0.79238604251580425,0.24320503029939414
0.0022187500000000002,2.4394320973664518,-0.79238604251580425,0.24394320973664518
0.0022312500000000002,2.4468138917389624,-0.79238604251580425,0.24468138917389623
0.0022437500000000001,2.4615774804839829,-0.79238604251580425,0.24615774804839829
0.00225625,2.4726501720427483,-0.79238604251580425,0.24726501720427482
0.0022687500000000004,2.4837228636015141,-0.79238604251580425,0.24837228636015141
0.0022812500000000003,2.4874137607877693,-0.79238604251580425,0.24874137607877694
0.0022937500000000002,2.4984864523465347,-0.79238604251580425,0.24984864523465347
0.0023062500000000001,2.5058682467190452,-0.79238604251580425,0.25058682467190452
0.0023187500000000001,2.5169409382778105,-0.79611834511754953,0.25169409382778107
0.00233125,2.5280136298365763,-0.79611834511754953,0.25280136298365763
0.0023437500000000003,2.5353954242090864,-0.79238604251580425,0.25353954242090865
0.0023562500000000003,2.5464681157678521,-0.79611834511754953,0.2546468115767852
0.0023687500000000002,2.5538499101403622,-0.79238604251580425,0.25538499101403622
