
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
1.1481536214968841E+002, 1.1481536214968841E+002, 0.0000000000000000E+000,-4.4685538430765625E+001, 0.0000000000000000E+000
1.1587773561551275E+002, 1.1587773561551275E+002, 0.0000000000000000E+000,-4.4685538432470494E+001, 0.0000000000000000E+000
1.1694993910198725E+002, 1.1694993910198725E+002, 0.0000000000000000E+000,-4.4685538434207253E+001, 0.0000000000000000E+000
1.1803206356517313E+002, 1.1803206356517313E+002, 0.0000000000000000E+000,-4.4685538435976810E+001, 0.0000000000000000E+000
1.1912420080273766E+002, 1.1912420080273766E+002, 0.0000000000000000E+000,-4.4685538437775691E+001, 0.0000000000000000E+000
1.2022644346174148E+002, 1.2022644346174148E+002, 0.0000000000000000E+000,-4.4685538439611008E+001, 0.0000000000000000E+000
1.2133888504649792E+002, 1.2133888504649792E+002, 0.0000000000000000E+000,-4.4685538441480610E+001, 0.0000000000000000E+000
1.2246161992650508E+002, 1.2246161992650508E+002, 0.0000000000000000E+000,-4.4685538443384672E+001, 0.0000000000000000E+000
1.2359474334445127E+002, 1.2359474334445127E+002, 0.0000000000000000E+000,-4.4685538445324376E+001, 0.0000000000000000E+000
1.2473835142429455E+002, 1.2473835142429455E+002, 0.0000000000000000E+000,-4.4685538447300743E+001, 0.0000000000000000E+000
1.2589254117941698E+002, 1.2589254117941698E+002, 0.0000000000000000E+000,-4.4685538449310407E+001, 0.0000000000000000E+000
1.2705741052085443E+002, 1.2705741052085443E+002, 0.0000000000000000E+000,-4.4685538451359797E+001, 0.0000000000000000E+000
1.2823305826560244E+002, 1.2823305826560244E+002, 0.0000000000000000E+000,-4.4685538453448153E+001, 0.0000000000000000E+000
1.2941958414499891E+002, 1.2941958414499891E+002, 0.0000000000000000E+000,-4.4685538455572498E+001, 0.0000000000000000E+000
1.3061708881318447E+002, 1.3061708881318447E+002, 0.0000000000000000E+000,-4.4685538457738474E+001, 0.0000000000000000E+000
1.3182567385564104E+002, 1.3182567385564104E+002, 0.0000000000000000E+000,-4.4685538459943032E+001, 0.0000000000000000E+000
1.3304544179780945E+002, 1.3304544179780945E+002, 0.0000000000000000E+000,-4.4685538462193158E+001, 0.0000000000000000E+000
1.3427649611378675E+002, 1.3427649611378675E+002, 0.0000000000000000E+000,-4.4685538464479748E+001, 0.0000000000000000E+000
1.3551894123510399E+002, 1.3551894123510399E+002, 0.0000000000000000E+000,-4.4685538466808588E+001, 0.0000000000000000E+000
1.3677288255958533E+002, 1.3677288255958533E+002, 0.0000000000000000E+000,-4.4685538469183967E+001, 0.0000000000000000E+000
1.3803842646028892E+002, 1.3803842646028892E+002, 0.0000000000000000E+000,-4.4685538471602968E+001, 0.0000000000000000E+000
1.3931568029453075E+002, 1.3931568029453075E+002, 0.0000000000000000E+000,-4.4685538474068366E+001, 0.0000000000000000E+000
1.4060475241299184E+002, 1.4060475241299184E+002, 0.0000000000000000E+000,-4.4685538476576099E+001, 0.0000000000000000E+000
1.4190575216890969E+002, 1.4190575216890969E+002, 0.0000000000000000E+000,-4.4685538479132632E+001, 0.0000000000000000E+000
1.4321878992735483E+002, 1.4321878992735483E+002, 0.0000000000000000E+000,-4.4685538481733403E+001, 0.0000000000000000E+000
1.4454397707459327E+002, 1.4454397707459327E+002, 0.0000000000000000E+000,-4.4685538484387443E+001, 0.0000000000000000E+000
1.4588142602753538E+002, 1.4588142602753538E+002, 0.0000000000000000E+000,-4.4685538487086767E+001, 0.0000000000000000E+000
1.4723125024327246E+002, 1.4723125024327246E+002, 0.0000000000000000E+000,-4.4685538489839239E+001, 0.0000000000000000E+000
1.4859356422870130E+002, 1.4859356422870130E+002, 0.0000000000000000E+000,-4.4685538492643019E+001, 0.0000000000000000E+000
