
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
2.0701413487910568E+002, 2.0701413487910568E+002, 0.0000000000000000E+000, 2.7467256048335553E+001, 0.0000000000000000E+000
2.0892961308540544E+002, 2.0892961308540544E+002, 0.0000000000000000E+000, 2.7467256041147493E+001, 0.0000000000000000E+000
2.1086281499333046E+002, 2.1086281499333046E+002, 0.0000000000000000E+000, 2.7467256033825322E+001, 0.0000000000000000E+000
2.1281390459827276E+002, 2.1281390459827276E+002, 0.0000000000000000E+000, 2.7467256026366886E+001, 0.0000000000000000E+000
2.1478304741305499E+002, 2.1478304741305499E+002, 0.0000000000000000E+000, 2.7467256018770925E+001, 0.0000000000000000E+000
2.1677041048197111E+002, 2.1677041048197111E+002, 0.0000000000000000E+000, 2.7467256011032259E+001, 0.0000000000000000E+000
2.1877616239495694E+002, 2.1877616239495694E+002, 0.0000000000000000E+000, 2.7467256003149949E+001, 0.0000000000000000E+000
2.2080047330189171E+002, 2.2080047330189171E+002, 0.0000000000000000E+000, 2.7467255995122084E+001, 0.0000000000000000E+000
2.2284351492703215E+002, 2.2284351492703215E+002, 0.0000000000000000E+000, 2.7467255986943716E+001, 0.0000000000000000E+000
2.2490546058357992E+002, 2.2490546058357992E+002, 0.0000000000000000E+000, 2.7467255978613721E+001, 0.0000000000000000E+000
2.2698648518838405E+002, 2.2698648518838405E+002, 0.0000000000000000E+000, 2.7467255970129418E+001, 0.0000000000000000E+000
2.2908676527677920E+002, 2.2908676527677920E+002, 0.0000000000000000E+000, 2.7467255961487172E+001, 0.0000000000000000E+000
2.3120647901756141E+002, 2.3120647901756141E+002, 0.0000000000000000E+000, 2.7467255952683644E+001, 0.0000000000000000E+000
2.3334580622810225E+002, 2.3334580622810225E+002, 0.0000000000000000E+000, 2.7467255943717397E+001, 0.0000000000000000E+000
2.3550492838960298E+002, 2.3550492838960298E+002, 0.0000000000000000E+000, 2.7467255934584536E+001, 0.0000000000000000E+000
2.3768402866248971E+002, 2.3768402866248971E+002, 0.0000000000000000E+000, 2.7467255925281009E+001, 0.0000000000000000E+000
