
Label=dB(v(Out4)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out4)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out4)/(V(Vid1)-V(Vid2))),dB(v(Out4)/(V(Vid1)-V(Vid2)))
2.1677041048197052E+002, 2.1677041048197052E+002, 0.0000000000000000E+000, 4.7130497651257727E+001, 0.0000000000000000E+000
2.1978598727848356E+002, 2.1978598727848356E+002, 0.0000000000000000E+000, 4.7130369268085708E+001, 0.0000000000000000E+000
2.2284351492703146E+002, 2.2284351492703146E+002, 0.0000000000000000E+000, 4.7130237292047418E+001, 0.0000000000000000E+000
2.2594357702209891E+002, 2.2594357702209891E+002, 0.0000000000000000E+000, 4.7130101622708423E+001, 0.0000000000000000E+000
2.2908676527677846E+002, 2.2908676527677846E+002, 0.0000000000000000E+000, 4.7129962156834246E+001, 0.0000000000000000E+000
2.3227367963571189E+002, 2.3227367963571189E+002, 0.0000000000000000E+000, 4.7129818788307972E+001, 0.0000000000000000E+000
2.3550492838960218E+002, 2.3550492838960218E+002, 0.0000000000000000E+000, 4.7129671408062094E+001, 0.0000000000000000E+000
2.3878112829131902E+002, 2.3878112829131902E+002, 0.0000000000000000E+000, 4.7129519903978917E+001, 0.0000000000000000E+000
2.4210290467361912E+002, 2.4210290467361912E+002, 0.0000000000000000E+000, 4.7129364160817751E+001, 0.0000000000000000E+000
2.4547089156850438E+002, 2.4547089156850438E+002, 0.0000000000000000E+000, 4.7129204060134214E+001, 0.0000000000000000E+000
2.4888573182824047E+002, 2.4888573182824047E+002, 0.0000000000000000E+000, 4.7129039480173759E+001, 0.0000000000000000E+000
2.5234807724805890E+002, 2.5234807724805890E+002, 0.0000000000000000E+000, 4.7128870295790072E+001, 0.0000000000000000E+000
2.5585858869056605E+002, 2.5585858869056605E+002, 0.0000000000000000E+000, 4.7128696378355556E+001, 0.0000000000000000E+000
2.5941793621188293E+002, 2.5941793621188293E+002, 0.0000000000000000E+000, 4.7128517595656348E+001, 0.0000000000000000E+000
2.6302679918953976E+002, 2.6302679918953976E+002, 0.0000000000000000E+000, 4.7128333811801440E+001, 0.0000000000000000E+000
2.6668586645214958E+002, 2.6668586645214958E+002, 0.0000000000000000E+000, 4.7128144887104838E+001, 0.0000000000000000E+000
2.7039583641088603E+002, 2.7039583641088603E+002, 0.0000000000000000E+000, 4.7127950678004183E+001, 0.0000000000000000E+000
2.7415741719278998E+002, 2.7415741719278998E+002, 0.0000000000000000E+000, 4.7127751036935841E+001, 0.0000000000000000E+000
2.7797132677593066E+002, 2.7797132677593066E+002, 0.0000000000000000E+000, 4.7127545812228391E+001, 0.0000000000000000E+000
2.8183829312644724E+002, 2.8183829312644724E+002, 0.0000000000000000E+000, 4.7127334847991051E+001, 0.0000000000000000E+000
2.8575905433749659E+002, 2.8575905433749659E+002, 0.0000000000000000E+000, 4.7127117983998076E+001, 0.0000000000000000E+000
2.8973435877013424E+002, 2.8973435877013424E+002, 0.0000000000000000E+000, 4.7126895055563445E+001, 0.0000000000000000E+000
2.9376496519615506E+002, 2.9376496519615506E+002, 0.0000000000000000E+000, 4.7126665893424857E+001, 0.0000000000000000E+000
2.9785164294292099E+002, 2.9785164294292099E+002, 0.0000000000000000E+000, 4.7126430323614841E+001, 0.0000000000000000E+000
3.0199517204020367E+002, 3.0199517204020367E+002, 0.0000000000000000E+000, 4.7126188167327300E+001, 0.0000000000000000E+000
3.0619634336906984E+002, 3.0619634336906984E+002, 0.0000000000000000E+000, 4.7125939240788057E+001, 0.0000000000000000E+000
3.1045595881283771E+002, 3.1045595881283771E+002, 0.0000000000000000E+000, 4.7125683355121382E+001, 0.0000000000000000E+000
3.1477483141013380E+002, 3.1477483141013380E+002, 0.0000000000000000E+000, 4.7125420316198124E+001, 0.0000000000000000E+000
3.1915378551007842E+002, 3.1915378551007842E+002, 0.0000000000000000E+000, 4.7125149924498508E+001, 0.0000000000000000E+000
3.2359365692963058E+002, 3.2359365692963058E+002, 0.0000000000000000E+000, 4.7124871974970901E+001, 0.0000000000000000E+000
3.2809529311312139E+002, 3.2809529311312139E+002, 0.0000000000000000E+000, 4.7124586256866571E+001, 0.0000000000000000E+000
3.3265955329400691E+002, 3.3265955329400691E+002, 0.0000000000000000E+000, 4.7124292553585640E+001, 0.0000000000000000E+000
3.3728730865887132E+002, 3.3728730865887132E+002, 0.0000000000000000E+000, 4.7123990642528746E+001, 0.0000000000000000E+000
