
Label=dB(v(Vout)/v(Vin)) vs F
LabelX=F
LabelY=dB(v(Vout)/v(Vin))
Data Point Count=1001
F,F,F,dB(v(Vout)/v(Vin)),dB(v(Vout)/v(Vin))
1.6672472125510644E+003, 1.6672472125510644E+003, 0.0000000000000000E+000, 1.5060164689982787E+000, 0.0000000000000000E+000
1.6788040181225620E+003, 1.6788040181225620E+003, 0.0000000000000000E+000, 1.6276660089206052E+000, 0.0000000000000000E+000
1.6904409316432659E+003, 1.6904409316432659E+003, 0.0000000000000000E+000, 1.7493386532867625E+000, 0.0000000000000000E+000
1.7021585083949524E+003, 1.7021585083949524E+003, 0.0000000000000000E+000, 1.8710347279417050E+000, 0.0000000000000000E+000
1.7139573075084272E+003, 1.7139573075084272E+003, 0.0000000000000000E+000, 1.9927545633887132E+000, 0.0000000000000000E+000
1.7258378919902057E+003, 1.7258378919902057E+003, 0.0000000000000000E+000, 2.1144984948577821E+000, 0.0000000000000000E+000
1.7378008287493776E+003, 1.7378008287493776E+003, 0.0000000000000000E+000, 2.2362668623750581E+000, 0.0000000000000000E+000
1.7498466886246592E+003, 1.7498466886246592E+003, 0.0000000000000000E+000, 2.3580600108333312E+000, 0.0000000000000000E+000
1.7619760464116314E+003, 1.7619760464116314E+003, 0.0000000000000000E+000, 2.4798782900635814E+000, 0.0000000000000000E+000
1.7741894808901679E+003, 1.7741894808901679E+003, 0.0000000000000000E+000, 2.6017220549077447E+000, 0.0000000000000000E+000
1.7864875748520531E+003, 1.7864875748520531E+003, 0.0000000000000000E+000, 2.7235916652924672E+000, 0.0000000000000000E+000
1.7988709151287903E+003, 1.7988709151287903E+003, 0.0000000000000000E+000, 2.8454874863040884E+000, 0.0000000000000000E+000
1.8113400926196050E+003, 1.8113400926196050E+003, 0.0000000000000000E+000, 2.9674098882647804E+000, 0.0000000000000000E+000
1.8238957023196403E+003, 1.8238957023196403E+003, 0.0000000000000000E+000, 3.0893592468098525E+000, 0.0000000000000000E+000
1.8365383433483489E+003, 1.8365383433483489E+003, 0.0000000000000000E+000, 3.2113359429662403E+000, 0.0000000000000000E+000
1.8492686189780807E+003, 1.8492686189780807E+003, 0.0000000000000000E+000, 3.3333403632323129E+000, 0.0000000000000000E+000
1.8620871366628701E+003, 1.8620871366628701E+003, 0.0000000000000000E+000, 3.4553728996587756E+000, 0.0000000000000000E+000
1.8749945080674213E+003, 1.8749945080674213E+003, 0.0000000000000000E+000, 3.5774339499309620E+000, 0.0000000000000000E+000
1.8879913490962961E+003, 1.8879913490962961E+003, 0.0000000000000000E+000, 3.6995239174524013E+000, 0.0000000000000000E+000
1.9010782799233027E+003, 1.9010782799233027E+003, 0.0000000000000000E+000, 3.8216432114296293E+000, 0.0000000000000000E+000
1.9142559250210886E+003, 1.9142559250210886E+003, 0.0000000000000000E+000, 3.9437922469583713E+000, 0.0000000000000000E+000
1.9275249131909388E+003, 1.9275249131909388E+003, 0.0000000000000000E+000, 4.0659714451111473E+000, 0.0000000000000000E+000
1.9408858775927811E+003, 1.9408858775927811E+003, 0.0000000000000000E+000, 4.1881812330260786E+000, 0.0000000000000000E+000
1.9543394557753975E+003, 1.9543394557753975E+003, 0.0000000000000000E+000, 4.3104220439973115E+000, 0.0000000000000000E+000
1.9678862897068477E+003, 1.9678862897068477E+003, 0.0000000000000000E+000, 4.4326943175667486E+000, 0.0000000000000000E+000
1.9815270258051012E+003, 1.9815270258051012E+003, 0.0000000000000000E+000, 4.5549984996172128E+000, 0.0000000000000000E+000
1.9952623149688825E+003, 1.9952623149688825E+003, 0.0000000000000000E+000, 4.6773350424671776E+000, 0.0000000000000000E+000
2.0090928126087310E+003, 2.0090928126087310E+003, 0.0000000000000000E+000, 4.7997044049669171E+000, 0.0000000000000000E+000
2.0230191786782746E+003, 2.0230191786782746E+003, 0.0000000000000000E+000, 4.9221070525962514E+000, 0.0000000000000000E+000
2.0370420777057213E+003, 2.0370420777057213E+003, 0.0000000000000000E+000, 5.0445434575638366E+000, 0.0000000000000000E+000
2.0511621788255684E+003, 2.0511621788255684E+003, 0.0000000000000000E+000, 5.1670140989079556E+000, 0.0000000000000000E+000
2.0653801558105324E+003, 2.0653801558105324E+003, 0.0000000000000000E+000, 5.2895194625990722E+000, 0.0000000000000000E+000
