
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=273
T,v(Vout)
 3.6155659999999848E-006, 5.2357136699877831E+000
 3.6246144258930371E-006, 6.9352678168542639E+000
 3.6334821015861826E-006, 8.3192384180733807E+000
 3.6395949955390890E-006, 9.1344234473692687E+000
 3.6453817333748603E-006, 9.8157580844689623E+000
 3.6498808617704983E-006, 1.0290753393180424E+001
 3.6546348672920609E-006, 1.0745954570821578E+001
 3.6641428783351859E-006, 1.1531375258421495E+001
 3.6831589004214355E-006, 1.2705804404287987E+001
 3.7167637184778990E-006, 1.3922594026742884E+001
 3.7522823805107059E-006, 1.4518188269124726E+001
 3.7979500488969680E-006, 1.4835714497921705E+001
 3.8501841746197727E-006, 1.4953971495366442E+001
 3.9283174950790423E-006, 1.4996029472950847E+001
 4.0283174950790422E-006, 1.5000145554836742E+001
 4.0999999999999997E-006, 1.5000017955846207E+001
 4.1000999999999999E-006, 1.5000018073990747E+001
 4.1003000000000004E-006, 1.4999196922294125E+001
 4.1004756986055757E-006, 1.4993609806013007E+001
 4.1006942386727407E-006, 1.4968736515109171E+001
 4.1010000000000002E-006, 1.4874672801887741E+001
 4.1010437080134330E-006, 1.4855328285161889E+001
 4.1011311240402987E-006, 1.4816683730610123E+001
 4.1013059560940308E-006, 1.4739657790100603E+001
 4.1016556202014952E-006, 1.4586652550796277E+001
 4.1023549484164229E-006, 1.4284780929198819E+001
 4.1037536048462785E-006, 1.3697219743020895E+001
 4.1065509177059905E-006, 1.2583961427491856E+001
 4.1121455434254144E-006, 1.0583809581359409E+001
 4.1233347948642622E-006, 7.3445830911477925E+000
 4.1365640797827619E-006, 4.5486009785315034E+000
 4.1484822156844693E-006, 2.8985139794148504E+000
 4.1570788515558036E-006, 2.2721976247233786E+000
 4.1666758900896109E-006, 1.9971430113204425E+000
 4.1807469586132619E-006, 1.8946206037948221E+000
 4.1966234585627026E-006, 1.8849307745314252E+000
 4.2207645941375958E-006, 1.8846972128999882E+000
 4.2620722457644619E-006, 1.8847501068135268E+000
 4.3377499917052106E-006, 1.8847239160656337E+000
 4.4210552690676086E-006, 1.8847409727007625E+000
 4.5210552690676085E-006, 1.8847292255232675E+000
 4.6009999999999997E-006, 1.8847373572921640E+000
 4.6010999999999999E-006, 1.8888047799921557E+000
 4.6013000000000003E-006, 1.9054595776746892E+000
 4.6017000000000003E-006, 1.9822815870557438E+000
 4.6020000000000002E-006, 2.0604541785644388E+000
 4.6020665000000004E-006, 2.0779494267389937E+000
 4.6021995000000000E-006, 2.1129077307257114E+000
 4.6024655000000002E-006, 2.1825998279219165E+000
 4.6029974999999996E-006, 2.3210792263748443E+000
 4.6040614999999985E-006, 2.5943759678825966E+000
 4.6061894999999971E-006, 3.1261187371771402E+000
 4.6104454999999943E-006, 4.1300611973834664E+000
 4.6189574999999879E-006, 5.9098592451362491E+000
 4.6274942107411014E-006, 7.4120659350932350E+000
 4.6353098006775360E-006, 8.5729581848440013E+000
 4.6411636922094854E-006, 9.3265404667463141E+000
 4.6447258442709031E-006, 9.7415489634034351E+000
 4.6491457036503811E-006, 1.0215152950157870E+001
 4.6551309324712922E-006, 1.0790223026676815E+001
 4.6671013901131144E-006, 1.1746153728898980E+001
 4.6910423053967580E-006, 1.3075512684063728E+001
 4.7248847808763273E-006, 1.4101842600335516E+001
 4.7628069498351881E-006, 1.4622289194360114E+001
 4.8089515978167961E-006, 1.4872964074660203E+001
 4.8668604049846096E-006, 1.4970529642105138E+001
 4.9495363031405862E-006, 1.4998286270936431E+001
 5.0000000000000004E-006, 1.4999492657278417E+001
