
Label=v(Vout6) vs T
LabelX=T
LabelY=v(Vout6)
Data Point Count=1035
T,v(Vout6)
 4.1960190170995266E-004, 1.0962695579092814E+000
 4.1960942356296480E-004, 1.9041327773232670E+000
 4.1961625007222328E-004, 2.5808381472702182E+000
 4.1962357022256588E-004, 3.0976920542226947E+000
 4.1963205741555709E-004, 3.4536059238620318E+000
 4.1964501607092547E-004, 3.7052740550499381E+000
 4.1966746305520896E-004, 3.8217169640941653E+000
 4.1969780787437554E-004, 3.8311438268515898E+000
 4.1974386107367578E-004, 3.8327158550644658E+000
 4.1981992646915193E-004, 3.8371235872947147E+000
 4.1997205726010422E-004, 3.8450513946089226E+000
 4.2027631884200881E-004, 3.8612101906244201E+000
 4.2088484200581805E-004, 3.8922487369032730E+000
 4.2210188833343646E-004, 3.9514871576643307E+000
 4.2453598098867330E-004, 4.0581514929274363E+000
 4.2940416629914702E-004, 4.2348332352027542E+000
 4.3914053692009440E-004, 4.4856369308959483E+000
 4.4157462957533124E-004, 4.5312631422420431E+000
 4.4218315273914047E-004, 4.5424470319682859E+000
 4.4340019906675889E-004, 4.5647240120023076E+000
 4.4367545902901509E-004, 4.5698213479980003E+000
 4.4374427401957915E-004, 4.5711147985325313E+000
 4.4388190400070722E-004, 4.5737701680109293E+000
 4.4391631149598925E-004, 4.5744678268388048E+000
 4.4398512648655331E-004, 4.5759177814262113E+000
 4.4412275646768138E-004, 4.5797211352312130E+000
 4.4414372575701019E-004, 4.5805586648348653E+000
 4.4418566433566785E-004, 4.5829198161723115E+000
 4.4419614898033225E-004, 4.5839066830946384E+000
 4.4421711826966105E-004, 4.5868165656163216E+000
 4.4422236059199325E-004, 4.5880300275918477E+000
 4.4423284523665765E-004, 4.5912637269659733E+000
 4.4424678110082858E-004, 4.6015230569464984E+000
 4.4426183368181542E-004, 4.5307905108938789E+000
 4.4427170950233459E-004, 4.1249379844696126E+000
 4.4427925340854448E-004, 3.3819984763859079E+000
 4.4428516999775805E-004, 2.6176859493897862E+000
 4.4428775820266929E-004, 2.2871302730355341E+000
 4.4429090025894467E-004, 1.9335541994857783E+000
 4.4429431276177495E-004, 1.6218621434836475E+000
 4.4429839700586078E-004, 1.3452735513431564E+000
 4.4430222532517853E-004, 1.1660744549591633E+000
 4.4430602903228200E-004, 1.0451696943236470E+000
 4.4431126074555549E-004, 9.4099008077539059E-001
 4.4431828022913132E-004, 8.6870248754411294E-001
 4.4432988238638806E-004, 8.2471324224083076E-001
 4.4434844479459689E-004, 8.1317062014876562E-001
 4.4437227670164798E-004, 8.1327119689125116E-001
 4.4441367572122599E-004, 8.1156833146341634E-001
 4.4449647376038195E-004, 8.0821082012709677E-001
 4.4466206983869388E-004, 8.0157757779102834E-001
 4.4499326199531777E-004, 7.8850194296770948E-001
 4.4565564630856557E-004, 7.6323013694301134E-001
 4.4698041493506117E-004, 7.1580650638363463E-001
 4.4962995218805236E-004, 6.3195190633891318E-001
 4.5492902669403475E-004, 4.9811916630819508E-001
 4.6552717570599953E-004, 3.1798621905573199E-001
 4.6692588681846326E-004, 3.0060159371231276E-001
 4.6727556459657919E-004, 2.9630383566740326E-001
 4.6797492015281106E-004, 2.8777287190782724E-001
 4.6937363126527479E-004, 2.7064003281260246E-001
 4.6940555122501317E-004, 2.7023430067265108E-001
 4.6946939114448987E-004, 2.6940486306229883E-001
 4.6959707098344334E-004, 2.6759916578020970E-001
 4.6962899094318172E-004, 2.6708343729630568E-001
 4.6969283086265842E-004, 2.6589891493636597E-001
 4.6970879084252758E-004, 2.6552659595032690E-001
 4.6974071080226596E-004, 2.6465358710690046E-001
 4.6974869079220054E-004, 2.6437563667021724E-001
 4.6976465077206971E-004, 2.6374296531586405E-001
 4.6979657073180809E-004, 2.6130880690892855E-001
 4.6980455072174267E-004, 2.6008246939508073E-001
 4.6982051070161183E-004, 2.5607137025071680E-001
 4.6982450069657912E-004, 2.5424510498888309E-001
 4.6983248068651370E-004, 2.4915443727321751E-001
 4.6984308556323370E-004, 2.4204893783654249E-001
 4.6985301293088792E-004, 3.3418157338724125E-001
 4.6985936578434995E-004, 5.9982356018612049E-001
 4.6986602094656424E-004, 1.1652631199147869E+000
 4.6987237395680923E-004, 1.8564381320084167E+000
 4.6988009819742561E-004, 2.6162851368058218E+000
 4.6988838091673680E-004, 3.1719833818738339E+000
 4.6989692757341497E-004, 3.4950663860691624E+000
 4.6991013996005042E-004, 3.7220969283621246E+000
 4.6993436418760708E-004, 3.8267283689267977E+000
 4.6996614845740288E-004, 3.8307672738741161E+000
 4.7001721147132058E-004, 3.8331657030305530E+000
 4.7009864254144741E-004, 3.8376834608465940E+000
 4.7026150468170108E-004, 3.8462729422342878E+000
 4.7058722896220847E-004, 3.8634532682368472E+000
 4.7123867752322325E-004, 3.8966271410681927E+000
 4.7254157464525281E-004, 3.9595090108124507E+000
 4.7514736888931193E-004, 4.0721708813131592E+000
 4.8035895737743011E-004, 4.2564671480806959E+000
 4.9078213435366648E-004, 4.5133033632402491E+000
 4.9235391975215265E-004, 4.5421496304420419E+000
 4.9274686610177414E-004, 4.5493098090634723E+000
 4.9353275880101722E-004, 4.5636658630742470E+000
 4.9372923197582802E-004, 4.5672821834173165E+000
 4.9412217832544951E-004, 4.5748571602784622E+000
 4.9422041491285491E-004, 4.5771290826314406E+000
 4.9424497405970629E-004, 4.5777384843990436E+000
 4.9429409235340893E-004, 4.5790912889929301E+000
 4.9430637192683462E-004, 4.5794894488229749E+000
 4.9433093107368600E-004, 4.5803598870940148E+000
 4.9438004936738864E-004, 4.5832236213927331E+000
 4.9439056499612632E-004, 4.5843122383989501E+000
 4.9441159625360155E-004, 4.5876593234565055E+000
 4.9443373429843202E-004, 4.6022070141916247E+000
 4.9445505009755965E-004, 4.3032605518919258E+000
 4.9446982040522453E-004, 3.1496498144445613E+000
 4.9447377131038388E-004, 2.6362351356607996E+000
 4.9447592897928138E-004, 2.3605729622420126E+000
 4.9447849049956752E-004, 2.0611591199004349E+000
 4.9448299582691960E-004, 1.6326080644259298E+000
 4.9448862724557087E-004, 1.2702432226993043E+000
 4.9449519150906454E-004, 1.0324422000705828E+000
 4.9450451894077294E-004, 8.8286469638744292E-001
 4.9451842221414038E-004, 8.2138077647145513E-001
 4.9453278368647130E-004, 8.1418585637028740E-001
 4.9455514418442594E-004, 8.1322656436679253E-001
 4.9459016389395022E-004, 8.1207090974054041E-001
 4.9466020331299877E-004, 8.0912224206063321E-001
 4.9480028215109599E-004, 8.0356306474329675E-001
 4.9508043982729043E-004, 7.9239478507435734E-001
 4.9564075517967931E-004, 7.7084839327862886E-001
 4.9676138588445695E-004, 7.2990246097622802E-001
 4.9900264729401235E-004, 6.5633987413031569E-001
 5.0348517011312305E-004, 5.3524018317061450E-001
 5.1245021575134443E-004, 3.6437443488468657E-001
 5.1469147716089983E-004, 3.3335092321030974E-001
 5.1917399998001052E-004, 2.7657474600240622E-001
 5.1965153473914434E-004, 2.7065599678518582E-001
 5.1977091842892776E-004, 2.6908338315599523E-001
 5.1980076435137359E-004, 2.6868028294140561E-001
 5.1986045619626536E-004, 2.6784143386158865E-001
 5.1997983988604879E-004, 2.6562082874757120E-001
 5.2000968580849462E-004, 2.6467995484777462E-001
 5.2001714728910605E-004, 2.6441998243941645E-001
 5.2003207025032902E-004, 2.6383106240248200E-001
 5.2006191617277485E-004, 2.6170764715377892E-001
 5.2006937765338628E-004, 2.6071388859585137E-001
 5.2008430061460924E-004, 2.5773047346380218E-001
 5.2010390355756964E-004, 2.4293067903283791E-001
 5.2012323332334377E-004, 5.5730820219863730E-001
 5.2013356690556913E-004, 1.2661908127418535E+000
 5.2014196722074578E-004, 2.1422996512039925E+000
 5.2015091154003783E-004, 2.9119127680077783E+000
 5.2016008422229936E-004, 3.3789679665874490E+000
 5.2016916070100525E-004, 3.6133972372802861E+000
 5.2018595927709802E-004, 3.7849183223896592E+000
 5.2021528574424227E-004, 3.8332969778122199E+000
 5.2025336528078038E-004, 3.8312476339095953E+000
 5.2031615990122014E-004, 3.8356388004482604E+000
 5.2044174914209955E-004, 3.8418468306449665E+000
 5.2069292762385838E-004, 3.8555044707470136E+000
 5.2119528458737603E-004, 3.8811668825257883E+000
 5.2219999851441134E-004, 3.9311797955707273E+000
 5.2420942636848206E-004, 4.0222153042321827E+000
 5.2822828207662350E-004, 4.1780036865272168E+000
 5.3626599349290639E-004, 4.4100382860190059E+000
 5.3827542134697712E-004, 4.4542207317294240E+000
 5.4229427705511856E-004, 4.5350231046981984E+000
 5.4329899098215387E-004, 4.5531736264386620E+000
