
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=286
T,v(Vout)
 4.6009999999999997E-006, 5.3427757482562566E-001
 4.6010999999999999E-006, 5.3521579243269191E-001
 4.6013000000000003E-006, 5.3935575158701321E-001
 4.6015137334867463E-006, 5.4879254440357583E-001
 4.6017641685199852E-006, 5.6630141537228063E-001
 4.6020000000000002E-006, 5.8613044740673659E-001
 4.6020241497962749E-006, 5.8821195684592120E-001
 4.6020724493888236E-006, 5.9237362804611826E-001
 4.6021690485739217E-006, 6.0068764234677985E-001
 4.6023622469441180E-006, 6.1727829440030935E-001
 4.6027486436845106E-006, 6.5030961957294386E-001
 4.6035214371652957E-006, 7.1576901390618497E-001
 4.6050670241268652E-006, 8.4425631105050214E-001
 4.6081581980500050E-006, 1.0914810079905271E+000
 4.6121805424554636E-006, 1.3938134393758848E+000
 4.6174967383803213E-006, 1.7607867266190325E+000
 4.6281291302300357E-006, 2.3934906386256265E+000
 4.6493939139294655E-006, 3.3294406127191611E+000
 4.6695809263011217E-006, 3.9072836601348415E+000
 4.6855470339056147E-006, 4.2184405118365920E+000
 4.7025533059578299E-006, 4.4538500031183261E+000
 4.7129531582257209E-006, 4.5608282829781963E+000
 4.7287858575666949E-006, 4.6854988332067986E+000
 4.7567491761826637E-006, 4.8278116302845024E+000
 4.8126758134146005E-006, 4.9549591879159420E+000
 4.9120721487433757E-006, 5.0009005934290904E+000
 5.0000000000000004E-006, 5.0000370159383190E+000
