
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=248
T,v(Vout)
 2.6013000000000000E-006, 1.9829344485902904E+000
 2.6017000000000000E-006, 2.0607477017733702E+000
 2.6019999999999998E-006, 2.1384060572768280E+000
 2.6020398999999997E-006, 2.1487026311517425E+000
 2.6021196999999995E-006, 2.1692267103309715E+000
 2.6022792999999995E-006, 2.2098527017744334E+000
 2.6025984999999995E-006, 2.2894406839520864E+000
 2.6032368999999995E-006, 2.4421559963869850E+000
 2.6045136999999991E-006, 2.7232654830865490E+000
 2.6070672999999983E-006, 3.1995728657539018E+000
 2.6121744999999966E-006, 3.8848020577936517E+000
 2.6201334699471551E-006, 4.4849039056163544E+000
 2.6295154613611436E-006, 4.7972044378709393E+000
 2.6420019801352604E-006, 4.9460566936751880E+000
 2.6532469201772808E-006, 4.9830880673139397E+000
 2.6713287612606432E-006, 4.9985347773992856E+000
 2.6921534143171139E-006, 4.9999762469978890E+000
 2.7338027204300553E-006, 5.0000075332446281E+000
 2.8171013326559384E-006, 4.9999955167544599E+000
 2.9171013326559382E-006, 5.0000028593413459E+000
 3.0171013326559381E-006, 4.9999981181868796E+000
 3.1000000000000000E-006, 5.0000010713339496E+000
 3.1001000000000002E-006, 5.0000012133392362E+000
 3.1003000000000002E-006, 4.9992770981188377E+000
 3.1004484924240524E-006, 4.9957711445035029E+000
 3.1006435714955174E-006, 4.9799317824896159E+000
 3.1010000000000000E-006, 4.8894154776307897E+000
 3.1010390158142932E-006, 4.8744326579558699E+000
 3.1011170474428792E-006, 4.8445838006255952E+000
 3.1012731107000511E-006, 4.7855730661397846E+000
 3.1015852372143953E-006, 4.6702460473265672E+000
 3.1022094902430832E-006, 4.4499575014472930E+000
 3.1034579963004596E-006, 4.0477576104457595E+000
 3.1059550084152124E-006, 3.3869494816348982E+000
 3.1090991715269604E-006, 2.8032805231063982E+000
 3.1123800089657391E-006, 2.4292759917319868E+000
 3.1189416838432959E-006, 2.0817545259607924E+000
 3.1279753322238325E-006, 1.9720186948288683E+000
 3.1380724458276879E-006, 1.9617721919857731E+000
 3.1524636107896933E-006, 1.9614485582487640E+000
